k id,k x,k y,k z,k accel,k steer,k steer angle,k speed,k max speed,k boost,k brake,k nitro,b x,b y,b z,b not moving,closest k x,closest k y,closest k z,blue t goal,red t goal,ball aim x,ball aim y,ball aim z
1.000000,-4.873581,0.275909,2.031891,0.000000,0.083438,0.149039,8.841217,14.250001,0.000000,1.000000,0.000000,-4.887825,0.369831,-1.294185,0.000000,-1.539146,0.275647,-3.599389,0.000000,0.000000,-5.010412,0.369831,0.291017
0.000000,-1.539146,0.275647,-3.599389,1.000000,1.000000,0.113381,10.285179,14.250001,1.000000,0.000000,0.000000,-4.887825,0.369831,-1.294185,0.000000,-4.798925,0.275739,2.033786,0.000000,0.000000,-5.005017,0.369831,-2.879795
1.000000,-0.104846,0.277895,0.902137,1.000000,-0.922666,0.130206,9.472461,14.250001,0.000000,0.000000,0.000000,-3.507624,0.369831,-1.377662,0.000000,2.410120,0.280099,-0.993349,0.000000,0.000000,-3.595839,0.369831,0.209824
0.000000,2.410120,0.280099,-0.993349,1.000000,-0.731162,0.155270,8.632366,14.250001,1.000000,0.000000,0.000000,-3.507624,0.369831,-1.377662,0.000000,-0.038633,0.277968,0.859860,0.000000,0.000000,-3.591559,0.369831,-2.965380
1.000000,3.101884,0.282797,-1.894131,1.000000,1.000000,0.186901,7.572121,14.250001,0.000000,0.000000,0.000000,-1.516339,0.369831,-1.508412,0.000000,6.148958,0.284882,-0.794474,0.000000,0.000000,-1.554601,0.369831,0.081063
0.000000,6.148958,0.284882,-0.794474,1.000000,-1.000000,0.210646,6.776239,14.250001,1.000000,0.000000,0.000000,-1.516339,0.369831,-1.508412,0.000000,3.152791,0.282877,-1.930775,0.000000,0.000000,-1.552251,0.369831,-3.097941
1.000000,6.178875,0.288782,-2.709241,1.000000,1.000000,0.253482,5.340459,14.250001,0.000000,0.000000,0.000000,1.094205,0.369831,-1.683910,0.000000,8.201911,0.291885,-2.531786,0.000000,0.000000,1.121897,0.369831,-0.094216
0.000000,8.201911,0.291885,-2.531786,1.000000,-1.000000,0.289161,4.144525,14.250001,1.000000,0.000000,0.000000,1.094205,0.369831,-1.683910,0.000000,6.222415,0.288901,-2.702665,0.000000,0.000000,1.121088,0.369831,-3.273617
1.000000,7.908165,0.293239,-1.940658,1.000000,1.000000,0.347133,2.201412,14.250001,0.000000,0.000000,0.000000,4.321466,0.369827,-1.908251,0.000000,8.571106,0.296182,-3.663408,0.000000,0.000000,4.430978,0.369827,-0.322092
0.000000,8.571106,0.296182,-3.663408,1.000000,-1.000000,0.399381,0.450155,14.250001,1.000000,0.000000,0.000000,4.321466,0.369827,-1.908251,0.000000,7.921926,0.293031,-1.929395,0.000000,0.000000,4.425307,0.369827,-3.494792
1.000000,9.147358,0.291237,-0.917565,1.000000,0.376446,0.303588,3.660960,14.250001,0.000000,0.000000,0.000000,8.160074,0.369498,-2.176325,0.000000,8.711607,0.297029,-3.740469,0.000000,0.000000,8.366484,0.369498,-0.599845
0.000000,8.711607,0.297029,-3.740469,1.000000,-1.000000,0.401933,0.364608,14.250001,1.000000,0.000000,0.000000,8.160074,0.369498,-2.176325,0.000000,9.156175,0.291144,-0.888873,0.000000,0.000000,8.353798,0.369498,-3.754414
1.000000,9.485795,0.296709,0.524488,1.000000,0.483230,0.372308,1.357571,14.250001,0.000000,0.000000,0.000000,8.804198,0.369389,-1.388262,0.000000,9.583915,0.297558,-2.885850,0.000000,0.000000,9.023870,0.369389,0.186424
0.000000,9.583915,0.297558,-2.885850,0.000000,0.749962,0.412811,-1.399853,14.250001,1.000000,1.000000,0.000000,8.804198,0.369389,-1.388262,0.000000,9.487345,0.296587,0.534971,0.000000,0.000000,9.015367,0.369389,-2.964112
1.000000,10.250399,0.297083,-0.728576,0.000000,-1.000000,0.412811,-2.212864,14.250001,0.000000,1.000000,0.000000,9.163415,0.369389,-1.737795,0.000000,9.029632,0.295385,-3.461782,0.000000,0.000000,9.393113,0.369389,-0.164540
0.000000,9.029632,0.295385,-3.461782,1.000000,-0.416700,0.394946,0.598796,14.250001,1.000000,0.000000,0.000000,9.163415,0.369389,-1.737795,0.000000,10.262301,0.297098,-0.740209,0.000000,0.000000,9.381877,0.369389,-3.312650
1.000000,9.561391,0.295754,0.193014,1.000000,1.000000,0.332322,2.697852,14.250001,0.000000,0.000000,0.000000,9.524847,0.369389,-1.629980,0.000000,9.697464,0.297426,-3.444129,0.000000,0.000000,9.763005,0.369389,-0.057983
